time,x,y,amp,phase
1985-12-14,0.49538955,1.4555162,1.5375104,7.0
1985-12-15,1.0548465,1.5455407,1.8712021,8.0
1985-12-16,1.5660119,1.1779097,1.9595573,8.0
1985-12-17,1.8708047,0.42109716,1.9176112,1.0
1985-12-18,1.8577131,-0.5432305,1.9355096,1.0
1985-12-19,1.4944997,-1.4728996,2.0983238,2.0
1985-12-20,0.8374105,-2.1371129,2.295323,3.0
1985-12-21,0.0140852025,-2.3839276,2.383969,3.0
1985-12-22,-0.8139767,-2.1812623,2.328189,3.0
1985-12-23,-1.4969122,-1.6186005,2.20468,4.0
1985-12-24,-1.9352088,-0.8701999,2.121858,4.0
1985-12-25,-2.0997145,-0.13376099,2.1039708,5.0
1985-12-26,-2.0278673,0.43351844,2.0736885,5.0
1985-12-27,-1.7994089,0.75954306,1.9531457,6.0
1985-12-28,-1.5017189,0.86834675,1.7347004,6.0
1985-12-29,-1.1978904,0.8558738,1.4722301,6.0
1985-12-30,-0.90884054,0.84156144,1.2386351,6.0
1985-12-31,-0.61492646,0.9150262,1.1024553,6.0
1986-01-01,-0.27498633,1.0981003,1.1320078,7.0
1986-01-02,0.14574629,1.3359386,1.3438653,7.0
1986-01-03,0.650441,1.5195587,1.6529162,8.0
1986-01-04,1.1983703,1.5303036,1.9436873,8.0
1986-01-05,1.7105083,1.2887166,2.1416416,8.0
1986-01-06,2.0910864,0.789086,2.2350166,1.0
1986-01-07,2.2571216,0.106697075,2.2596421,1.0
1986-01-08,2.164997,-0.62469155,2.2533202,1.0
1986-01-09,1.8243872,-1.2564493,2.215187,2.0
1986-01-10,1.2946334,-1.6733675,2.1157112,2.0
1986-01-11,0.665217,-1.8288456,1.9460704,3.0
1986-01-12,0.027760912,-1.7543969,1.7546165,3.0
1986-01-13,-0.55008364,-1.5407038,1.6359584,3.0
1986-01-14,-1.0395108,-1.2980859,1.6630123,4.0
1986-01-15,-1.4492898,-1.1117514,1.8265903,4.0
1986-01-16,-1.8096399,-1.008865,2.0718603,4.0
1986-01-17,-2.1481478,-0.9497787,2.3487484,4.0
1986-01-18,-2.4675677,-0.8465786,2.6087518,5.0
1986-01-19,-2.7345872,-0.6018642,2.8000371,5.0
1986-01-20,-2.8844893,-0.15314984,2.888552,5.0
1986-01-21,-2.8406765,0.49383184,2.8832817,5.0
1986-01-22,-2.5424037,1.2556477,2.835572,6.0
1986-01-23,-1.9708681,1.9896832,2.8005643,6.0
1986-01-24,-1.1641161,2.5348725,2.7893987,6.0
1986-01-25,-0.21491875,2.760988,2.76934,7.0
1986-01-26,0.7484671,2.6098459,2.7150505,7.0
1986-01-27,1.5929658,2.1145778,2.6474478,8.0
1986-01-28,2.2132711,1.3905842,2.6138656,8.0
1986-01-29,2.5562472,0.60128367,2.6260126,1.0
1986-01-30,2.6297905,-0.090012215,2.6313305,1.0
1986-01-31,2.4938943,-0.5665084,2.5574286,1.0
1986-02-01,2.2373605,-0.78801197,2.372076,1.0
1986-02-02,1.948025,-0.79577816,2.1042967,1.0
1986-02-03,1.6861115,-0.6915266,1.8224107,1.0
1986-02-04,1.4689927,-0.5982303,1.5861334,1.0
1986-02-05,1.2717072,-0.61573297,1.4129282,2.0
1986-02-06,1.042464,-0.78538156,1.3052032,2.0
1986-02-07,0.72766006,-1.0745846,1.2977755,2.0
1986-02-08,0.29808095,-1.3857644,1.4174608,3.0
1986-02-09,-0.2322825,-1.5866679,1.6035804,3.0
1986-02-10,-0.8010309,-1.5527328,1.7471776,4.0
1986-02-11,-1.307887,-1.2088974,1.7810112,4.0
1986-02-12,-1.6384547,-0.55865127,1.7310762,5.0
1986-02-13,-1.6948743,0.30808318,1.7226474,5.0
1986-02-14,-1.4250402,1.2307225,1.882928,6.0
1986-02-15,-0.8423318,2.013541,2.182629,6.0
1986-02-16,-0.030226123,2.4718926,2.4720774,7.0
1986-02-17,0.8699902,2.4774294,2.6257455,7.0
1986-02-18,1.6859313,1.9909861,2.608906,8.0
1986-02-19,2.24918,1.0750182,2.4928849,8.0
1986-02-20,2.4306147,-0.11738083,2.4334474,1.0
1986-02-21,2.1678684,-1.3740634,2.566652,2.0
1986-02-22,1.4787775,-2.4682395,2.8773234,2.0
1986-02-23,0.45807695,-3.2050316,3.2376013,3.0
1986-02-24,-0.7414025,-3.459333,3.5378895,3.0
1986-02-25,-1.9382619,-3.196747,3.7384555,4.0
1986-02-26,-2.9558434,-2.4740412,3.8545935,4.0
1986-02-27,-3.6520722,-1.4208871,3.9187436,5.0
1986-02-28,-3.9401162,-0.20920494,3.9456663,5.0
1986-12-01,1.0150032,-1.4487275,1.76891,2.0
1986-12-02,0.47068468,-1.6493856,1.7152308,3.0
1986-12-03,-0.12755416,-1.7474256,1.7520748,3.0
1986-12-04,-0.73978674,-1.7077374,1.8610889,4.0
1986-12-05,-1.3105329,-1.4847758,1.9804181,4.0
1986-12-06,-1.7683161,-1.0454983,2.054266,4.0
1986-12-07,-2.0347674,-0.39583302,2.0729115,5.0
1986-12-08,-2.0425165,0.40105224,2.081518,5.0
1986-12-09,-1.7569517,1.2244986,2.1415594,6.0
1986-12-10,-1.1942853,1.9178765,2.259329,6.0
1986-12-11,-0.42840606,2.3275313,2.3666294,7.0
1986-12-12,0.41803518,2.3476944,2.384622,7.0
1986-12-13,1.1978818,1.956501,2.294083,8.0
1986-12-14,1.7733366,1.2300675,2.1581912,8.0
1986-12-15,2.0499704,0.32817835,2.0760732,1.0
1986-12-16,2.0006714,-0.54567003,2.0737507,1.0
